"id","ma","ten","ma_cha","last_update","trang_thai"
465,VNB-CNTH,Chi nhánh TCTHKVN - CTCP tại Thanh Hóa,VNB,"2026-06-05 02:26:01.118967",
462,VNB-CNPLEIKU,Chi nhánh TCTHKVN - CTCP tại Pleiku,VNB,"2026-06-05 02:26:01.118967",
286,ASO-DVKTNB,Phòng Dịch vụ và Khai thác Nội Bài,ASO,"2026-06-05 02:26:01.118967",
438,VAL,Công Ty Cổ Phần Cho thuê máy bay Việt Nam,CTC,"2026-06-05 02:26:01.118967",
520,VPĐ,Văn phòng Đảng ủy Tổng công ty Hàng không Việt Nam,TMĐU,"2026-06-05 02:26:01.118967",
291,AT,An toàn,BOM,"2026-06-05 02:26:01.118967",
485,Others1,Ngoài Tổng công ty,,"2026-08-14 09:08:21.524474",
152,HRD-TLCS,Phòng Tiền lương - Chính sách,HRD,"2026-06-05 02:26:01.118967",
345,FTC-ATCL,Phòng An toàn - Chất lượng,FTC,"2026-06-05 02:26:01.118967",
349,FTC-KTHC,Phòng Kế toán - Hành chính,FTC,"2026-06-05 02:26:01.118967",
505,GLC-BGĐ,Lãnh đạo Trung tâm,GLC,"2026-06-05 02:26:01.118967",
590,HRT-KTHC,Phòng Kế toán - Hành chính,HRT,"2026-06-05 02:26:01.118967",
371,JPB-FUK,Chi nhánh TCTHKVN - CTCP tại Fukuoka (FUK),JPB,"2026-06-05 02:26:01.118967",
548,DTT-DIS,Phòng An ninh thông tin và Hạ tầng số,DTT,"2026-06-05 02:26:01.118967",
387,MSD-KTHTB,Phòng Kỹ thuật và Hỗ trợ bán,MSD,"2026-06-05 02:26:01.118967",
281,ARI,Công Ty Cổ Phần Xuất Nhập Khẩu Hàng Không,CTC,"2026-06-05 02:26:01.118967",
375,KRB,Chi nhánh TCTHKVN - CTCP tại Hàn Quốc,TM,"2026-06-05 02:26:01.118967",
475,VNK,Công Ty TNHH Giao Nhận Hàng Hóa VINAKO,CTC,"2026-06-05 02:26:01.118967",
307,CCD-ĐT,Phòng Đào tạo,CCD,"2026-06-05 02:26:01.118967",
415,SMD-CUQLVT,Phòng Cung ứng và Quản lý vật tư,SMD,"2026-06-05 02:26:01.118967",
373,JPB-KIX,Chi nhánh TCTHKVN - CTCP tại Osaka (KIX),JPB,"2026-06-05 02:26:01.118967",
512,HRD-LĐ,Lãnh đạo Ban,HRD,"2026-06-05 02:26:01.118967",
578,CPH,Sân bay Copenhagen - Đan Mạch,TM,"2026-06-05 02:26:01.118967",
498,SMD-LĐB,Lãnh đạo Ban,SMD,"2026-06-05 02:26:01.118967",
403,CPD-HTTM,Phòng Hợp tác thương mại,CPD,"2026-06-05 02:26:01.118967",
295,AUB-MEL,Chi nhánh TCTHKVN - CTCP tại Melbourne (MEL),AUB,"2026-06-05 02:26:01.118967",
275,FAD-NQ,Phòng Ngân quỹ,FAD,"2026-06-05 02:26:01.118967",
366,IPD-ĐTRNDN,Phòng Đầu tư ra ngoài doanh nghiệp,IPD,"2026-06-05 02:26:01.118967",
277,CTC,CTC - CTLK,VNA,"2026-06-05 02:26:01.118967",
454,VFT,Công Ty Cổ Phần Đào Tạo Bay Việt,CTC,"2026-06-05 02:26:01.118967",
440,VAS-CAH,Chi nhánh TCTHKVN - CTCP tại Cà Mau,VAS,"2026-06-05 02:26:01.118967",
421,SQD-QLATCL,Phòng Quản lý An toàn-Chất lượng,SQD,"2026-06-05 02:26:01.118967",
324,CPM-TTHH,Phòng Tiếp thị Hàng hóa,CPM,"2026-06-05 02:26:01.118967",
470,VNB-TCHC,Phòng Tổ chức - Hành chính,VNB,"2026-06-05 02:26:01.118967",
550,MSD-TTS,Phòng Bán và Tiếp thị số,MSD,"2026-06-05 02:26:01.118967",
436,VAE,Công Ty TNHH MTV Kỹ Thuật Máy Bay,CTC,"2026-06-05 02:26:01.118967",
561,LAB-VTE,Trụ sở chính - Vientiane (VTE),LAB,"2026-06-05 02:26:01.118967",
151,HRD-PTNL,Phòng Phát triển nhân lực,HRD,"2026-06-05 02:26:01.118967",
278,AIT,Công Ty Cổ Phần Tin Học-Viễn Thông Hàng Không,CTC,"2026-06-05 02:26:01.118967",
270,ĐTN,Đoàn Thanh Niên,BOM,"2026-06-05 02:26:01.118967",
368,IPD-TMTB,Phòng Thuê mua tàu bay,IPD,"2026-06-05 02:26:01.118967",
536,AUB-SYD,Trụ sở chính - Sydney (SYD),AUB,"2026-06-05 02:26:01.118967",
541,ASD-GSANHK,Phòng Giám sát An ninh hàng không,ASD,"2026-06-05 02:26:01.118967",
538,VNB-CNĐB,Chi nhánh TCTHKVN - CTCP tại Điện Biên,VNB,"2026-06-05 02:26:01.118967",
320,CNB-PVG,Chi nhánh TCTHKVN - CTCP tại Thượng Hải (PVG),CNB,"2026-06-05 02:26:01.118967",
348,FTC-KT,Phòng Kỹ thuật,FTC,"2026-06-05 02:26:01.118967",
413,SGB,Chi nhánh TCTHKVN - CTCP tại Singapore,TM,"2026-06-05 02:26:01.118967",
14,TMU,Tham mưu,BOM,"2026-06-05 02:26:01.118967",
417,SQD,Ban An toàn - Chất lượng,AT,"2026-06-05 02:26:01.118967",
493,UNI,Cơ quan Công đoàn Tổng công ty,BOM,"2026-06-05 02:26:01.118967",
552,IDB-DPS,Sân bay Bali (DPS),IDB,"2026-06-05 02:26:01.118967",
494,SQD-LĐ,Lãnh đạo Ban,SQD,"2026-06-05 02:26:01.118967",
333,EUB,Văn phòng đại diện TCTHKVN - CTCP khu vực Châu Âu,TM,"2026-06-05 02:26:01.118967",
289,ASO-KT,Phòng Kế toán,ASO,"2026-06-05 02:26:01.118967",
489,VNB-CNTBB,Chi nhánh TCTHKVN - CTCP tại Tuy Hòa,VNB,"2026-06-05 02:26:01.118967",
559,JPB-HND,Trụ sở chính - Tokyo - Haneda (HND),JPB,"2026-06-05 02:26:01.118967",
425,TEC-CTKHBD,Phòng Chương trình và kế hoạch bảo dưỡng,TEC,"2026-06-05 02:26:01.118967",
461,VNB-CNNT,Chi nhánh TCTHKVN - CTCP tại Nha Trang,VNB,"2026-06-05 02:26:01.118967",
303,CBD-TGTT,Phòng Truyền thông,CBD,"2026-06-05 02:26:01.118967",
399,PAA,Công Ty Cổ Phần Hàng Không Pacific Airlines,CTC,"2026-06-05 02:26:01.118967",
562,KRB-ICN,Trụ sở chính - Seoul (ICN),KRB,"2026-06-05 02:26:01.118967",
318,CNB-CAN,Chi nhánh TCTHKVN - CTCP tại Quảng Châu (CAN),CNB,"2026-06-05 02:26:01.118967",
272,FAD-KTQT,Phòng Kế toán quản trị,FAD,"2026-06-05 02:26:01.118967",
484,HRD-CBVG,Cán bộ vốn góp,HRD,"2026-06-05 02:26:01.118967",
153,HRD-TCCB,Phòng Tổ chức - Cán bộ,HRD,"2026-06-05 02:26:01.118967",
477,OCC-ĐH,Phòng Điều hành,OCC,"2026-06-05 02:26:01.118967",
503,CPM-LĐB,Lãnh đạo Ban,CPM,"2026-06-05 02:26:01.118967",
458,VNB-CNCT,Chi nhánh TCTHKVN - CTCP tại Cần Thơ,VNB,"2026-06-05 02:26:01.118967",
401,CPD-CL,Phòng Chiến lược,CPD,"2026-06-05 02:26:01.118967",
367,IPD-MS,Phòng Mua sắm,IPD,"2026-06-05 02:26:01.118967",
426,TEC-KSHĐKT,Phòng Kiểm soát hoạt động kỹ thuật,TEC,"2026-06-05 02:26:01.118967",
549,DTT-LĐB,Lãnh đạo Ban,DTT,"2026-06-05 02:26:01.118967",
70,HRD,Ban Tổ chức và Nhân lực,TMU,"2026-06-05 02:26:01.118967",
547,DTT-DGS,Phòng Quản trị Dữ liệu và Giải pháp số,DTT,"2026-06-05 02:26:01.118967",
443,VAS-ATCL,Phòng An toàn - Chất lượng,VAS,"2026-06-05 02:26:01.118967",
556,CNB-PKX,Sân bay Đại Hưng - Bắc Kinh (PKX),CNB,"2026-06-05 02:26:01.118967",
502,OCC-BGĐ,Ban Giám đốc,OCC,"2026-06-05 02:26:01.118967",
336,FCD-A350,Đội bay Airbus 350,FCD,"2026-06-05 02:26:01.118967",
402,CPD-GCQTDT,Phòng Giá cước và Quản trị doanh thu,CPD,"2026-06-05 02:26:01.118967",
522,BTC,Ban Tổ chức Đảng ủy Tổng công ty Hàng không Việt Nam,TMĐU,"2026-06-05 02:26:01.118967",
564,TEST_PS1,Phòng số 1 (TEST),Others,"2026-06-05 02:26:01.118967",
579,UNI-LĐB,Lãnh đạo CĐTCT,UNI,"2026-06-05 02:26:01.118967",
314,CCD-LĐ6,Liên đội Tiếp viên 6,CCD,"2026-06-05 02:26:01.118967",
389,MSD-QTGPPP,Phòng Quản trị giải pháp phân phối,MSD,"2026-06-05 02:26:01.118967",
297,CAD-HC,Phòng Hành chính,CAD,"2026-06-05 02:26:01.118967",
424,TEC,Ban Kỹ thuật,KT,"2026-06-05 02:26:01.118967",
584,HRT,Chi nhánh TCTHKVN - CTCP - Trung tâm Heritage,Other,"2026-06-05 02:26:01.118967",
525,IND-DEL,Trụ sở chính - New Delhi (DEL),INB,"2026-06-05 02:26:01.118967",
560,KHB-PNH,Trụ sở chính - Phnom Penh (PNH),KHB,"2026-06-05 02:26:01.118967",
455,VNB,Chi nhánh TCTHKVN - CTCP Khu Vực Việt Nam,BNĐ,"2026-06-05 02:26:01.118967",
428,TEC-QLKTĐB,Phòng Quản lý kỹ thuật đội bay,TEC,"2026-06-05 02:26:01.118967",
340,FCD-ĐT,Phòng Đào tạo,FCD,"2026-06-05 02:26:01.118967",
265,Other,Đơn vị khác,BOM,"2026-06-05 02:26:01.118967",
268,DV,Dịch vụ,BOM,"2026-06-05 02:26:01.118967",
